Autoridad Ambiental,Nombre de la estación,Latitud,Longitud,Ubicación,Departamento,Municipio,Tipo de Estación,Variable,Unidades,Tiempo Promedio,Promedio,Número de Excedencias,Representatividad Temporal,Porcentaje de excedencias,Mediana,Percentil 98,Máximo,Mínimo,Días con Excedencias
CAR,06 Mosquera-SENA,4.687882774,-74.22254747,"(4.687882774, -74.22254747)",CUNDINAMARCA,MOSQUERA,Fija,NO2,ugm3,24,5.9,0,77,0,5.8,11.8,12.3,0,0
CAR,06 Mosquera-SENA,4.687882774,-74.22254747,"(4.687882774, -74.22254747)",CUNDINAMARCA,MOSQUERA,Fija,PM10,ugm3,24,29.6,0,81,0,31,47,49,4,0
CAR,06 Mosquera-SENA,4.687882774,-74.22254747,"(4.687882774, -74.22254747)",CUNDINAMARCA,MOSQUERA,Fija,PST,ugm3,24,34.6,0,81,0,37,63,67,12,0
CAR,07 La Calera-Alcaldía,4.719539118,-73.96873782,"(4.719539118, -73.96873782)",CUNDINAMARCA,LA CALERA,Fija,NO2,ugm3,24,9.9,0,100,0,9.9,10.2,10.4,9.4,0
CAR,07 La Calera-Alcaldía,4.719539118,-73.96873782,"(4.719539118, -73.96873782)",CUNDINAMARCA,LA CALERA,Fija,PM10,ugm3,24,38.7,0,100,0,39,40,40,37,0
CAR,09 Nemocón-Patio Bonito,5.129058937,-73.89588519,"(5.129058937, -73.89588519)",CUNDINAMARCA,NEMOCÓN,Fija,NO2,ugm3,24,13.2,0,100,0,13.2,13.6,13.8,12.5,0
CAR,09 Nemocón-Patio Bonito,5.129058937,-73.89588519,"(5.129058937, -73.89588519)",CUNDINAMARCA,NEMOCÓN,Fija,PM10,ugm3,24,77.5,0,100,0,77,80,81,74,0
CAR,10 Zipaquirá-Emafez,5.010012989,-74.00274345,"(5.010012989, -74.00274345)",CUNDINAMARCA,ZIPAQUIRÁ,Fija,PM10,ugm3,24,40.4,0,100,0,38.5,69.5,79,16,0
CAR,11 Ráquira-Colegio,5.5374681,-73.63499965,"(5.5374681, -73.63499965)",BOYACÁ,RÁQUIRA,Fija,NO2,ugm3,24,14.1,0,89,0,14.1,14.7,14.7,13.4,0
CAR,11 Ráquira-Colegio,5.5374681,-73.63499965,"(5.5374681, -73.63499965)",BOYACÁ,RÁQUIRA,Fija,PM10,ugm3,24,81.3,0,89,0,81,83,84,79,0
CAR,12 Cogua-PTAR I,5.054945225,-73.97698601,"(5.054945225, -73.97698601)",CUNDINAMARCA,COGUA,Fija,PM10,ugm3,24,53,3,86,0.96,53,90.5,109,5,3
CAR,13 Cajicá-Manas,4.957911483,-74.01097625,"(4.957911483, -74.01097625)",CUNDINAMARCA,CAJICÁ,Fija,NO2,ugm3,24,9.9,0,97,0,9.9,10.3,10.4,9.3,0
CAR,13 Cajicá-Manas,4.957911483,-74.01097625,"(4.957911483, -74.01097625)",CUNDINAMARCA,CAJICÁ,Fija,PM10,ugm3,24,56.3,0,97,0,56,58,59,54,0
CAR,14 Funza-Sisben,4.716524889,-74.21171239,"(4.716524889, -74.21171239)",CUNDINAMARCA,FUNZA,Fija,NO2,ugm3,24,5.1,0,78,0,4.7,10.9,14.2,0.6,0
CAR,14 Funza-Sisben,4.716524889,-74.21171239,"(4.716524889, -74.21171239)",CUNDINAMARCA,FUNZA,Fija,PM10,ugm3,24,43.5,0,79,0,46.5,77,87,10,0
CAR,14 Funza-Sisben,4.716524889,-74.21171239,"(4.716524889, -74.21171239)",CUNDINAMARCA,FUNZA,Fija,PST,ugm3,24,50.7,0,79,0,61.5,106.3,109,6,0
CAR,15 Bogotá-Mochuelo,4.530213886,-74.14221714,"(4.530213886, -74.14221714)",CUNDINAMARCA,"BOGOTÁ, D.C.",Fija,NO2,ugm3,24,5.8,0,25,0,5.8,11.6,11.9,0.4,0
