noid,codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,zona_postal,codigo_postal,limite_norte,limite_sur,limite_este,limite_oeste,tipo,barrios_contenidos_en_el_codigo_postal,veredas_contenidas_en_el_codigo_postal
2899,68,SANTANDER,68872,VILLANUEVA,6840,684027,MPIO. ZAPATOCA Y LOS SANTOS,VÍA ARATOCA-VILLANUEVA-BARICHARA,MUNICIPIO JORDÁN,MUNICIPIO BARICHARA,Rural,Sin Informacion de Barrios,Cuchilla de San Pablo- El Batan-  El Pozo
285,5,ANTIOQUIA,05856,VALPARAISO,560,56037,MUNICIPIO LA PINTADA,MUNICIPIO GARAMANTA,MUNICIPIO AGUADAS,MUNICIPIO TAMESIS,Rural,Sin Informacion de Barrios,Bolaños- Cabecera Municipal-  El Bosque-  El Libano-  La Bocana-  La Graciela-  La Herradura-  La Meseta-  La Sardina-  Mallarino-  Potrerillo
1735,25,CUNDINAMARCA,25596,QUIPILE,2530,253037,MUNICIPIO BITUIMA,M. JERUSALÉN Y ANAPOIMA,M. ANOLAIMA- CAHIPAY Y LA MESA,M. SAN J. DE RÍO SECO Y PULÍ,Rural,Sin Informacion de Barrios,ALTO DEL ROBLE- BERLIN-  CABRERA-  CAPATA-  CHONTARAL-  CONCORDIA-  EL BELEN-  EL CHAMANTE-  EL CONDE-  EL ESPINO-  EL LIBANO-  EL RETIRO-  El Rosario-  EL SINAI GRANDE-  EL TIBER-  GIBRALTAR-  GOLGOTA-  GUADALUPE-  ILO-  LA ARABIA-  LA ARGENTINA-  LA BOT
2964,68,SANTANDER,68190,CIMITARRA,6860,686047,MPIO. PUERTO  PARRA,MUNICIPIO LANDÁZURI,M. PTO. PARRA Y LANDÁZURI,Q/DA. LA PERDIDA Y RÍO GUAYABITO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2102,47,MAGDALENA,47001,SANTA MARTA,4700,470017,MAR CARIBE,MUNICIPIO ARACATACA,MUNICIPIO DIBULLA,RÍO DON DIEGO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
3369,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,7630,763041,LIMITE URBANO,CL  8,LIMITE URBANO,KR  24,Urbano,Alto Bonito- Bello Horizonte- Divino Niño- El Jardín- Fransisco Rivera E- Jorge Eliecer Gaitán- Juan Mayor- La Concordia- La Revolución- La Ventura- Manuela Sanclemente- María Luisa de La Espada- Palo Blanco- Pedro A Molina- Popular- Ricaurte- San Antonio,Sin Informacion de Veredas
2920,68,SANTANDER,68572,PUENTE NACIONAL,6845,684527,M. GUAV.- BARBOSA Y MONIQUIRA,MUNICIPIO SABOYÁ,MPIO. MONIQUIRA Y SANTA SOFIA,MPIO. ALBANIA Y JESUS MARIA,Rural,Sin Informacion de Barrios,Agudelo- Alto Cantano-  Alto Capilla-  Alto Guamito-  Alto Semisa-  Bajo Guamito-  Bajo San Dimas-  Capilla-  Cristales-  El Injerto-  El Morro-  Estancia González-  Iroba-  Jarantiva-  La Cuchilla-  Los Robles-  Mata de Ramo-  Pantanillo-  Popoa Norte-
46,5,ANTIOQUIA,05079,BARBOSA,510,51028,VÍA MEDELLÍN-SANTO DOMINGO,MPIO. SAN VICENTE Y CONCEPCIÓN,MUNICIPIO SANTO DOMINGO,MUNICIPIO GIRARDOTA,Rural,Sin Informacion de Barrios,Aguas Claras Abajo- Aguas Claras Arriba-  Arango-  Buenos Aires-  Cabecera Municipal-  Chorro Hondo-  Corrientes-  Dos Quebradas-  El Contado-  El Hatillo-  El Hoyo-  El Uvito-  El Viento-  Encenillos-  Guamito-  Guayabal-  Isaza-  La Aguada-  La Aldea-
2107,47,MAGDALENA,47288,FUNDACION,4720,472027,MUNICIPIO ARACATACA,MPIO. ALGARROBO Y EL COPEY,RÍO (PERMANENTE),MUNICIPIO PIVIJAY,Rural,Sin Informacion de Barrios,Caraballo
2879,68,SANTANDER,68524,PALMAS DEL SOCORRO,6835,683547,MUNICIPIO SOCORRO,MPIO. CONFINES Y GUAPOTÁ,MUNICIPIO CONFINES,MPIO. CHIMA Y SIMACOTA,Rural,Sin Informacion de Barrios,Bariri- Barronegro-  Barronegro-  El Rincón-  Llano Grande-  Tamacara
101,5,ANTIOQUIA,05647,SAN ANDRES DE CUERQUIA,520,52040,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Cabecera Municipal- Cañaduzales-  El Barro-  Montaña Adentro
3201,73,TOLIMA,73585,PURIFICACION,7345,734507,MUNICIPIO GUAMO,VÍA SALDAÑA-EL BAURA-SAN CAYETANO,MUNICIPIO SUÁREZ,MUNICIPIO SALDAÑA,Rural,Sin Informacion de Barrios,El Tigre- Madroño
223,5,ANTIOQUIA,05376,LA CEJA,550,55017,MUNICIPIO RIONEGRO,RÍO PANTANILLO,M. LA UNIÓN Y EL C. VIBORAL,MUNICIPIO EL RETIRO,Rural,Sin Informacion de Barrios,Aguas Claras- Cabecera Municipal-  Chuscalito-  El Capiro-  El Chuscal-  El Higuerón-  El Tambo-  Guamito-  La Amapola-  La Milagrosa-  La Milagrosa-  La Palmera-  La Playa-  LLanadas-  Lomitas-  Pantalio-  Pantanillo-  Pontezuela-  San Gerardo-  San Jose
1824,27,CHOCO,27245,EL CARMEN DE ATRATO,2710,271018,RÍO ATRATO Y (PERMANENTE),MPIO. LLORÓ Y BAGADÓ,MPIO. CIUDAD BOLÍVAR Y BETANIA,MUNICIPIO LLORÓ,Rural,Sin Informacion de Barrios,El Cinco- El Diez-  El Doce-  El Nueve-  El Ocho-  El Piñón-  El Porvenir-  El Siete-  Habita-  La Arboleda-  La Isla-  La Mariela-  San Cayetano
421,8,ATLANTICO,08758,SOLEDAD,830,83002,CL 17E- KR 52B- 53 Y 56,KR 25 Y 27,M. SITIONUEVO,CL 34- 35 Y AV BOYACA,Urbano,20 de Julio- Centenario- Costa Hermosa- El Cabrero- El Ferry- El Hipódromo- El Porvenir- El Río Santa Inés- El Triunfo- El Tucán- La Rivera- La Victoria Vieja- Las Ferias- Los Arrayanes- Primero de Mayo- Salamanca- Urbanización Las Margaritas- Urbanizació,Sin Informacion de Veredas
2113,47,MAGDALENA,47692,SAN SEBASTIAN DE BUENAVISTA,4730,473008,MUNICIPIO SAN ZENÓN,MPIO. SAN FERNANDO Y GUAMAL,RÍO (PERMANENTE),MUNICIPIO MOMPOS,Rural,Sin Informacion de Barrios,Los Galvis
1317,19,CAUCA,19418,LOPEZ,1960,196067,MUNICIPIO BUENAVENTURA,MUNICIPIO TIMBIQUÍ,RÍO AGUA CLARA Y MICAY,OCEANO PACIFICO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
3404,76,VALLE DEL CAUCA,76109,BUENAVENTURA,7645,764502,CL  20,CL  5 Y 6,CL  4A,KR  22,Urbano,12 de Abril- 6 de Enero- Bahía- Bolívar- Bosque Municipal- Camilo Torres- Carlos Holmes Trujillo- Doña Ceci- El Campín- El Jardín- El Pinal- El Porvenir- El Progreso- La Comuna- La Fortaleza- La Independencia- La Inmaculada- Las Américas- Miraflores- Mira,Sin Informacion de Veredas
2355,52,NARIÑO,52260,EL TAMBO,5220,522067,MUNICIPIO EL PEÑOL,M. LA FLORIDA Y SANDONA,VÍA EL PEÑOL-MATITUY,MUNICIPIO LINARES,Rural,Sin Informacion de Barrios,Cascajal Alto- Cascajal Bajo-  Granadillo-  LLano Grande-  San Pedro-  Trojayaco
3643,97,VAUPES,97161,CARURU,9730,973007,MUNICIPIO EL RETORNO,RÍO VAUPÉS,MPIO. PAPUNAUA Y MITÚ,MUNICIPIO MIRAFLORES,Rural,Sin Informacion de Barrios,Bocas de Cumare- Reserva Natural
