Fecha,Hora,M/T,Intervalo,Temperatura (°C),Humedad (%),Presión Realtiva(hpa),Presión Absoluta(hpa),Velocidad del viento(km/h),Ráfagas(km/h),Dirección del viento,Punto de rocio(°C),Temperatura del aire(°C),Precipitación en la ultima hora(mm),Precipitación en 24 horas (mm),Precipitación semanalmm),Precipitación mensualmm),Precipitación total(mm),Luz(lux)
02/01/2016 12:00:00 AM,06:52:47,AM,30,287,56,1010,898.6,9.7,13.3,NW,19.1,28.2,0,0,0.3,0,3093,--.-
02/01/2016 12:00:00 AM,07:22:47,AM,30,28,60,1009.7,898.3,12.2,20.9,N,19.5,27.2,0,0,0.3,0,3093,60341.5
02/01/2016 12:00:00 AM,07:52:47,AM,30,277,61,1009.3,897.9,11.2,19.4,N,19.5,26.9,0,0,0.3,0,3093,211123.2
02/01/2016 12:00:00 AM,08:22:47,AM,30,276,61,1009,897.6,9.7,19.4,S,19.4,27,0,0,0.3,0,3093,165325.5
02/01/2016 12:00:00 AM,08:52:47,AM,30,271,61,1009,897.6,11.2,15.8,W,19,26.3,0,0,0.3,0,3093,--.-
02/01/2016 12:00:00 AM,09:22:47,AM,30,267,62,1008.9,897.5,12.2,14.8,NW,18.8,25.7,0,0,0.3,0,3093,--.-
02/01/2016 12:00:00 AM,09:52:47,AM,30,257,66,1009.4,898,5,8.6,N,18.9,25.7,0,0,0.3,0,3093,100225.7
02/01/2016 12:00:00 AM,10:22:47,AM,30,254,66,1009.5,898.1,7.2,9.7,NW,18.6,25,0,0,0.3,0,3093,329598.2
02/01/2016 12:00:00 AM,10:52:47,AM,30,251,66,1009.5,898.1,5,8.6,NW,18.3,25.1,0,0,0.3,0,3093,--.-
02/01/2016 12:00:00 AM,11:22:47,AM,30,246,69,1010.3,898.9,6.1,8.6,NW,18.6,24.6,0,0,0.3,0,3093,--.-
02/01/2016 12:00:00 AM,11:52:47,AM,30,244,70,1010.7,899.3,1.1,3.6,NE,18.6,24.4,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,12:22:47,PM,30,241,71,1011,899.6,3.6,6.1,N,18.5,24.1,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,12:52:47,PM,30,24,71,1011.5,900.1,0,0,NW,18.4,24,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,01:22:47,PM,30,236,76,1012.2,900.8,2.5,3.6,NW,19.1,23.6,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,01:52:47,PM,30,232,77,1013,901.6,2.5,5,NE,19,23.2,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,02:22:47,PM,30,23,78,1013.6,902.2,2.5,5,SE,19,23,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,02:52:47,PM,30,227,78,1014,902.6,1.1,3.6,S,18.7,22.7,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,03:22:47,PM,30,223,78,1014.1,902.7,2.5,3.6,SE,18.3,22.3,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,03:52:47,PM,30,228,78,1014.2,902.8,0,0,E,18.8,22.8,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,04:22:47,PM,30,216,79,1014.1,902.7,0,2.5,E,17.8,21.6,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,04:52:47,PM,30,215,79,1013.9,902.5,0,0,SE,17.7,21.5,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,05:22:47,PM,30,219,79,1014.1,902.7,1.1,2.5,NE,18.1,21.9,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,05:52:47,PM,30,223,77,1014,902.6,0,1.1,W,18.1,22.3,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,06:22:47,PM,30,219,79,1013.4,902,2.5,3.6,E,18.1,21.9,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,06:52:47,PM,30,222,78,1013.3,901.9,0,0,SE,18.2,22.2,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,07:22:47,PM,30,216,80,1012.7,901.3,2.5,5,SE,18,21.6,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,07:52:47,PM,30,219,80,1012.2,900.8,1.1,2.5,N,18.3,21.9,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,08:22:47,PM,30,214,81,1012,900.6,2.5,5,N,18,21.4,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,08:52:47,PM,30,216,85,1012.3,900.9,1.1,2.5,NW,19,21.6,0.3,0.3,0.6,3,3096,0.0
02/01/2016 12:00:00 AM,09:22:47,PM,30,211,89,1012.2,900.8,0,1.1,W,19.2,21.1,0,0.3,0.6,3,3096,0.0
02/01/2016 12:00:00 AM,09:52:47,PM,30,211,89,1012.1,900.7,0,2.5,NW,19.2,21.1,0,0.3,0.6,3,3096,0.0
02/01/2016 12:00:00 AM,10:22:47,PM,30,206,90,1012.3,900.9,2.5,5,SW,18.9,20.6,1.8,2.1,2.4,21,3114,0.0
02/01/2016 12:00:00 AM,10:52:47,PM,30,191,89,1013.1,901.7,2.5,5,E,17.3,19.1,12,12.3,12.6,123,3216,0.0
02/01/2016 12:00:00 AM,11:22:47,PM,30,188,90,1013.6,902.2,1.1,3.6,S,17.1,18.8,1.8,14.1,14.4,141,3234,0.0
02/01/2016 12:00:00 AM,11:52:47,PM,30,187,91,1014,902.6,3.6,6.1,NE,17.2,18.7,3,15.3,15.6,153,3246,0.0
03/01/2016 12:00:00 AM,12:22:47,AM,30,197,91,1014.4,903,0,1.1,SE,18.2,19.7,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,12:52:47,AM,30,199,90,1014.4,903,3.6,6.1,SE,18.2,19.9,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,01:22:47,AM,30,203,89,1014.5,903.1,0,2.5,SE,18.5,20.3,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,01:52:47,AM,30,213,84,1015,903.6,1.1,2.5,E,18.5,21.3,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,02:22:47,AM,30,234,78,1015.2,903.8,1.1,2.5,W,19.4,23.4,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,02:52:47,AM,30,242,72,1015.1,903.7,0,1.1,SE,18.9,24.2,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,03:22:47,AM,30,235,80,1015.1,903.7,1.1,5,NW,19.9,23.5,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,03:52:47,AM,30,246,72,1014.9,903.5,6.1,7.2,N,19.2,24.6,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,04:22:47,AM,30,249,70,1014.6,903.2,8.6,12.2,W,19.1,24.2,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,04:52:47,AM,30,255,65,1014.3,902.9,5,8.6,W,18.5,25.5,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,05:22:47,AM,30,257,63,1013.5,902.1,7.2,9.7,N,18.2,25.3,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,05:52:47,AM,30,266,60,1013.1,901.7,6.1,8.6,NW,18.2,26.6,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,06:22:47,AM,30,258,62,1012.7,901.3,3.6,5,N,18,25.8,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,06:52:47,AM,30,271,59,1012,900.6,13.3,22,SW,18.4,26,0,0,0,153,3246,224179.0
03/01/2016 12:00:00 AM,07:22:47,AM,30,269,59,1011.4,900,11.2,14.8,W,18.2,26,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,07:52:47,AM,30,273,57,1010.9,899.5,13.3,19.4,SW,18.1,26.3,0,0,0,153,3246,263525.6
03/01/2016 12:00:00 AM,08:22:47,AM,30,263,60,1010.5,899.1,6.1,11.2,W,17.9,26.3,0,0,0,153,3246,336049.3
03/01/2016 12:00:00 AM,08:52:47,AM,30,262,61,1010.1,898.7,6.1,9.7,W,18.1,26.2,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,09:22:47,AM,30,263,60,1010.1,898.7,5,9.7,NW,17.9,26.3,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,09:52:47,AM,30,257,61,1010.1,898.7,6.1,8.6,N,17.6,25.7,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,10:22:47,AM,30,258,61,1010.4,899,8.6,15.8,NW,17.7,25.2,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,10:52:47,AM,30,246,66,1010.8,899.4,9.7,13.3,NW,17.9,23.7,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,11:22:47,AM,30,239,70,1010.9,899.5,6.1,8.6,W,18.1,23.9,0,0,0,153,3246,--.-
03/01/2016 12:00:00 AM,11:52:47,AM,30,234,74,1011.4,900,3.6,5,NW,18.5,23.4,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,12:22:47,PM,30,231,75,1011.8,900.4,1.1,3.6,SE,18.5,23.1,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,12:52:47,PM,30,225,78,1012.2,900.8,2.5,6.1,E,18.5,22.5,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,01:22:47,PM,30,215,81,1012.6,901.2,5,7.2,E,18.1,21.5,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,01:52:47,PM,30,214,82,1013.2,901.8,2.5,3.6,E,18.2,21.4,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,02:22:47,PM,30,213,83,1013.8,902.4,2.5,3.6,E,18.3,21.3,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,02:52:47,PM,30,211,83,1014,902.6,2.5,3.6,SE,18.1,21.1,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,03:22:47,PM,30,208,85,1014.1,902.7,0,1.1,E,18.2,20.8,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,03:52:47,PM,30,209,85,1014.4,903,2.5,3.6,E,18.3,20.9,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,04:22:47,PM,30,208,84,1014.2,902.8,0,2.5,E,18,20.8,0,0,0,153,3246,0.0
